id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dceca-746c-701e-849e-b29580121123,Joseph Asante,male,0.75,48,adult,NG,Nigeria,0.79,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b2d03b578031,Ade Okafor,male,0.69,44,adult,NG,Nigeria,0.76,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b2ef1ef64839,Fiifi Tchalla,male,0.97,27,adult,NG,Nigeria,0.81,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b2fd24c6f16d,Ebo Keïta,male,0.98,50,adult,NG,Nigeria,0.36,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b3088425575a,Fiifi Adeyemi,male,0.91,32,adult,NG,Nigeria,0.25,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b31090087e75,Fiifi Okafor,male,0.85,28,adult,NG,Nigeria,0.31,2026-04-27T11:54:29.787Z
019dceca-746c-701e-849e-b3545c7ed275,Richard Zinsou,male,0.8,53,adult,NG,Nigeria,0.52,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-920951bd9446,Ama Gbagbo,male,0.79,40,adult,NG,Nigeria,0.45,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-921b061c7831,Chidi Igwe,male,0.86,19,teenager,NG,Nigeria,0.95,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-922e0dd6c0ca,Femi Nikiéma,male,0.79,30,adult,NG,Nigeria,0.43,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-922f16a126a8,Kwame Zongo,male,0.94,15,teenager,NG,Nigeria,0.22,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-92507ce33fca,Daniel Kaboré,male,0.76,36,adult,NG,Nigeria,0.1,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-925330065645,Dele Dao,male,0.83,70,senior,NG,Nigeria,0.4,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-92b2841b5bc6,David Compaoré,male,0.77,65,senior,NG,Nigeria,0.15,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-92c052170bd6,Daniel Chukwu,male,0.71,60,senior,NG,Nigeria,0.23,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-92f248784640,Emmanuel Touré,male,0.71,38,adult,NG,Nigeria,0.51,2026-04-27T11:54:29.787Z
019dceca-746d-7dbd-99d2-92f59df251cd,Richard Camara,male,0.87,31,adult,NG,Nigeria,0.7,2026-04-27T11:54:29.787Z
